GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALU3E001,ALU3E002,ALU3E003,ALU3E004,ALU3E005,ALU3E006,ALU3E007,ALU3E008,ALU3E009,ALU3E010,ALU3E011,ALU3E012,ALU3E013,NAME_M,ALU3M001,ALU3M002,ALU3M003,ALU3M004,ALU3M005,ALU3M006,ALU3M007,ALU3M008,ALU3M009,ALU3M010,ALU3M011,ALU3M012,ALU3M013
"G130","2015-2019","GA",,,"Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US13",,,"Georgia",4502437,93182,339955,557697,672907,641094,277292,648386,149659,179550,444833,354825,143057,"Georgia",11569,2386,4687,6452,6171,7347,4252,7689,3504,3461,5940,4511,3529
"G150","2015-2019","HI",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US15",,,"Hawaii",670910,13944,61121,86571,96111,92408,35039,111481,16162,28843,61319,49488,18423,"Hawaii",3285,922,1868,2456,2512,1835,1518,2328,759,1241,1712,1787,959
"G160","2015-2019","ID",,,"Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US16",,,"Idaho",733021,39346,110735,130630,128226,103096,42165,75172,14683,17430,36342,21804,13392,"Idaho",4041,1546,3011,3259,2699,2948,1811,2272,1145,1008,1435,1075,710
"G170","2015-2019","IL",,,"Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US17",,,"Illinois",5847752,158003,526238,695014,755968,730038,359349,811948,205202,295567,618557,517293,174575,"Illinois",12306,2769,5145,5866,7328,6475,3795,5824,2994,3895,6151,4965,3109
"G180","2015-2019","IN",,,"Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US18",,,"Indiana",3021938,102985,353804,459024,497373,444326,212115,367470,99211,106506,201622,120884,56618,"Indiana",8357,2606,4546,4661,6082,4692,3537,4291,2476,2380,3342,2692,1680
"G190","2015-2019","IA",,,"Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US19",,,"Iowa",1509648,99112,258978,275475,260504,211846,91937,134402,30751,32082,61147,32673,20741,"Iowa",5643,1856,3069,3690,3103,3150,2460,2496,1088,960,1490,1128,942
"G200","2015-2019","KS",,,"Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US20",,,"Kansas",1369045,83095,226742,243105,240592,200111,81343,135606,28735,30231,53350,29652,16483,"Kansas",5232,1593,3065,3068,3658,2980,2257,2297,1170,1105,1538,1093,803
"G210","2015-2019","KY",,,"Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US21",,,"Kentucky",1874500,66830,212537,287151,320767,287976,126188,232742,53371,57831,118942,71670,38495,"Kentucky",8226,1681,3118,3781,4375,4085,2702,3797,1785,1895,2437,1911,1377
"G220","2015-2019","LA",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US22",,,"Louisiana",1946870,58954,200949,285196,337483,292444,110448,266042,47271,54861,134006,99317,59899,"Louisiana",7253,2095,4165,4124,4708,4300,2822,4029,2124,1996,3223,2635,2005
"G230","2015-2019","ME",,,"Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US23",,,"Maine",617948,28886,78185,92706,93683,82283,41695,71562,20405,22371,46403,25971,13798,"Maine",3028,1076,1795,2266,1920,1865,1398,1839,898,939,1324,1028,826
"G240","2015-2019","MD",,,"Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US24",,,"Maryland",2894560,44515,167259,267816,351322,363076,179828,430812,114126,157115,357781,327897,133013,"Maryland",6958,1877,2894,3601,4155,4312,3000,4605,2850,2376,4106,4163,2964
"G250","2015-2019","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US25",,,"Massachusetts",3362383,77332,272122,390348,433921,421600,196895,478326,116178,166778,363974,326307,118602,"Massachusetts",8638,2080,3775,4621,5468,5115,3662,4908,2523,2546,5106,4437,2354
"G260","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US26",,,"Michigan",4376783,132587,463446,633461,701222,665951,318270,545436,142257,172349,323901,196040,81863,"Michigan",10033,2440,4151,4789,6048,5231,3007,4759,2265,2428,3245,2860,1602
